k = 257, real = 0.99514706439038647101, imag = -0.09839878167536388054
k = 258, real = 0.99510925575372610741, imag = -0.09878040854979962260
k = 259, real = 0.99507130076777616789, imag = -0.09916202089674250320
k = 260, real = 0.99503319943811863180, imag = -0.09954361866006931903
k = 261, real = 0.99499495177035701676, imag = -0.09992520178365907335
k = 262, real = 0.99495655777011637877, imag = -0.10030677021139286498
k = 263, real = 0.99491801744304320110, imag = -0.10068832388715395765
k = 264, real = 0.99487933079480561638, imag = -0.10106986275482782167
k = 265, real = 0.99484049783109318454, imag = -0.10145138675830207842
k = 266, real = 0.99480151855761711488, imag = -0.10183289584146652806
k = 267, real = 0.99476239298010993295, imag = -0.10221438994821320512
k = 268, real = 0.99472312110432570265, imag = -0.10259586902243628126
k = 269, real = 0.99468370293604024823, imag = -0.10297733300803221801
k = 270, real = 0.99464413848105071025, imag = -0.10335878184889961406
k = 271, real = 0.99460442774517565656, imag = -0.10374021548893937184
k = 272, real = 0.99456457073425541537, imag = -0.10412163387205458642
k = 273, real = 0.99452456745415174222, imag = -0.10450303694215057337
k = 274, real = 0.99448441791074759788, imag = -0.10488442464313496583
k = 275, real = 0.99444412210994803658, imag = -0.10526579691891760349
k = 276, real = 0.99440368005767909576, imag = -0.10564715371341061589
k = 277, real = 0.99436309175988857323, imag = -0.10602849497052840855
k = 278, real = 0.99432235722254580512, imag = -0.10640982063418767678
k = 279, real = 0.99428147645164155488, imag = -0.10679113064830739188
k = 280, real = 0.99424044945318790223, imag = -0.10717242495680884273
k = 281, real = 0.99419927623321890930, imag = -0.10755370350361562193
k = 282, real = 0.99415795679778973248, imag = -0.10793496623265365353
k = 283, real = 0.99411649115297706647, imag = -0.10831621308785116531
k = 284, real = 0.99407487930487936634, imag = -0.10869744401313871651
k = 285, real = 0.99403312125961640344, imag = -0.10907865895244923948
k = 286, real = 0.99399121702332937645, imag = -0.10945985784971798416
k = 287, real = 0.99394916660218113336, imag = -0.10984104064888260133
k = 288, real = 0.99390697000235606051, imag = -0.11022220729388305938
k = 289, real = 0.99386462723005974951, imag = -0.11060335772866172754
k = 290, real = 0.99382213829151966333, imag = -0.11098449189716338981
